"cell_type" "time"
"246" "Myocyte" 22
"247" "Neuron" 22
"248" "Neuron" 22
"249" "Fibroblast" 22
"250" "Fibroblast" 22
"251" "Myocyte" 22
"252" "Fibroblast" 22
"253" "d2_induced" 2
"254" "Myocyte" 22
"255" "d2_induced" 2
"256" "Myocyte" 22
"257" "d2_induced" 2
"258" "d2_induced" 2
"259" "Fibroblast" 22
"260" "d2_induced" 2
"261" "Myocyte" 22
"262" "d2_induced" 2
"263" "d2_induced" 2
"264" "Myocyte" 22
"265" "d2_induced" 2
"266" "d22_failedReprog" 22
"267" "Myocyte" 20
"268" "Myocyte" 20
"269" "Fibroblast" 20
"270" "d22_failedReprog" 20
"271" "Myocyte" 20
"272" "Fibroblast" 20
"273" "d2_induced" 2
"274" "Myocyte" 22
"275" "d2_induced" 2
"276" "Myocyte" 22
"277" "d2_induced" 2
"278" "d2_induced" 2
"279" "Myocyte" 22
"280" "d2_induced" 2
"281" "Myocyte" 22
"282" "d2_induced" 2
"283" "Myocyte" 22
"284" "d2_induced" 2
"285" "d2_induced" 2
"286" "Myocyte" 22
"287" "d22_failedReprog" 20
"288" "Myocyte" 20
"289" "d22_failedReprog" 20
"290" "Myocyte" 20
"291" "d2_induced" 2
"292" "Myocyte" 22
"293" "d2_induced" 2
"294" "Myocyte" 22
"295" "d2_induced" 2
"296" "d2_induced" 2
"297" "Myocyte" 22
"298" "d2_induced" 2
"299" "Myocyte" 22
"300" "d2_induced" 2
"301" "Myocyte" 22
"302" "d2_induced" 2
"303" "d22_failedReprog" 22
"304" "d2_induced" 2
"305" "Myocyte" 22
"306" "d22_failedReprog" 20
"307" "Myocyte" 20
"308" "Myocyte" 20
"309" "d2_induced" 2
"310" "Myocyte" 22
"311" "Myocyte" 22
"312" "Myocyte" 22
"313" "Myocyte" 22
"314" "Myocyte" 22
"315" "Fibroblast" 22
"316" "d22_failedReprog" 20
"317" "d22_failedReprog" 20
"318" "Myocyte" 20
"319" "Myocyte" 20
"320" "Myocyte" 20
"321" "d2_induced" 2
"322" "Myocyte" 22
"323" "d2_induced" 2
"324" "Myocyte" 22
"325" "d2_induced" 2
"326" "d2_induced" 2
"327" "Myocyte" 22
"328" "d2_induced" 2
"329" "Myocyte" 22
"330" "d2_induced" 2
"331" "d2_induced" 2
"332" "d2_induced" 2
"333" "Myocyte" 20
"334" "Myocyte" 20
"335" "Myocyte" 20
"336" "Myocyte" 20
"337" "d2_induced" 2
"338" "Myocyte" 22
"339" "d2_induced" 2
"340" "Myocyte" 22
"341" "d2_induced" 2
"342" "Myocyte" 22
"343" "d2_induced" 2
"344" "Myocyte" 22
"345" "d2_induced" 2
"346" "Myocyte" 22
"347" "d2_induced" 2
"348" "Myocyte" 22
"349" "d2_induced" 2
"350" "Myocyte" 22
"351" "d2_induced" 2
"352" "Myocyte" 22
"353" "d22_failedReprog" 20
"354" "d22_failedReprog" 20
"355" "Fibroblast" 20
"356" "d22_failedReprog" 20
"357" "d22_failedReprog" 20
"358" "d22_failedReprog" 20
"359" "d2_induced" 2
"360" "Myocyte" 22
"361" "d2_induced" 2
"362" "Myocyte" 22
"363" "d2_induced" 2
"364" "Fibroblast" 22
"365" "d2_induced" 2
"366" "Myocyte" 22
"367" "d2_induced" 2
"368" "Myocyte" 22
"369" "d2_induced" 2
"370" "Myocyte" 22
"371" "Myocyte" 22
"372" "Myocyte" 20
"373" "Fibroblast" 20
"374" "Myocyte" 20
"375" "d22_failedReprog" 20
"376" "Myocyte" 20
"377" "Myocyte" 22
"378" "Myocyte" 22
"379" "Myocyte" 22
"380" "Myocyte" 22
"381" "Myocyte" 22
"382" "Myocyte" 22
"383" "Fibroblast" 22
"384" "Myocyte" 22
"385" "Myocyte" 22
"386" "Myocyte" 22
"387" "Myocyte" 22
"388" "Myocyte" 22
"389" "Myocyte" 22
"390" "Myocyte" 22
"391" "Myocyte" 22
"392" "Myocyte" 22
"393" "Myocyte" 22
"394" "Myocyte" 22
"395" "Myocyte" 22
"396" "Myocyte" 22
"397" "Myocyte" 22
"398" "Myocyte" 22
"399" "Myocyte" 22
"400" "Myocyte" 22
"401" "Myocyte" 22
"402" "Myocyte" 22
"403" "Myocyte" 22
"404" "Myocyte" 22
"405" "d22_failedReprog" 22
